original_text,cleaned_text,Topic
I respect you boss.,i respect you boss,-1
When is Phase 2?,when is phase,-1
PAPI,papi,-1
sar i like you,sar i like you,-1
"Countries like Japan, India and others in South America are already mass distributing one of the Ivermectin protocols to their people. It's cost effective and works. We could be doing the same. Our measures lack the early treatment component. And needs a reboot.",countries like japan india and others in south america are already mass distributing one of the antiparastic drug protocols to their people it is cost effective and works we could be doing the same our measures lack the early treatment component and needs a reboot,1
"I'm still waiting for our MPs and ministers to take a 60% pay cut because half the time they've not been working much since Covid and the other half of the time they're bumbling about trying to deal with their ignorance, lack of specialised knowledge, banality and lack of common sense. If Malaysia can implement salary cuts for their Ministers and MPs (who do more than ours do, as their country is not the size of a postage stamp), we can certainly do the same too... Preaching words of hope and resilience to us ordinary citizens while they still draw the minimum $16k a month (or in the case of DP, for instance, millions a month) hits very different esp to those who are struggling desperately to earn even $160 a month while jobless and unable to get a job for more than a year. The words of a man with a cushy job and never had to go around begging for thousands of jobs ring very different from the words of another who is starving to death and battling depression in this climate.",i am still waiting for our mps and ministers to take a pay cut because half the time they have not been working much since covid and the other half of the time they are bumbling about trying to deal with their ignorance lack of specialised knowledge banality and lack of common sense if malaysia can implement salary cuts for their ministers and mps who do more than ours do as their country is not the size of a postage stamp we can certainly do the same too preaching words of hope and resilience to us ordinary citizens while they still draw the minimum a month or in the case of display photo for instance millions a month hits very different esp to those who are struggling desperately to earn even a month while jobless and unable to get a job for more than a year the words of a man with a cushy job and never had to go around begging for thousands of jobs ring very different from the words of another who is starving to death and battling depression in this climate,1
"This is the closest the Govt will come to admitting they screwed up:- “Airport workers from a zone which received arrivals from higher-risk countries went to have their meals at Terminal 3 Basement 2. “And we suspect from there, it transmitted to members of public that visited the place,” Transport Minister Ong Ye Kung said.”",this is the closest the government will come to admitting they screwed up airport workers from a zone which received arrivals from countries went to have their meals at terminal basement and we suspect from there it transmitted to members of public that visited the place transport minister ong ye kung said,1
"Honestly, during situations like these, we rather be proven wrong.",honestly during situations like these we rather be proven wrong,1
"Ng Yat Chung should resign. This former general ran both NOL and SPH to the ground. And if his behaviour at the press conference earlier is anything to go by, things will not improve with him at the helm. Shareholders must demand accountability from him and the rest of the board. In any other place he would have been sacked by now.",ng yat chung should resign this former general ran both singapore cotainer shipping company and media publisher to the ground and if his behaviour at the press conference earlier is anything to go by things will not improve with him at the helm shareholders must demand accountability from him and the rest of the board in any other place he would have been sacked by now,1
"WP's @bgAABHtSPs hits the nail on its head. We need to reimagine Singapore. If you wanna learn about the sorry state of our media today, read about how the Newspapers and Printing Presses Act was enacted.",hits the nail on its head we need to reimagine singapore if you want to learn about the sorry state of our media today read about how the newspapers and printing presses act was enacted,-1
We look forward to continued progress 🙌,we look forward to continued progress raising hands,0
We are heartened to hear about the development on the Tudung issue. We look forward to the donning of the tudung by our Muslim nurses.,we are heartened to hear about the development on the tudung issue we look forward to the donning of the tudung by our muslim nurses,0
"On behalf of the community, thank you @bgAABHtpEB.mastura for fighting the good fight, standing up for women, and for taking a clear stance that Islam makes no exception for religious figures who are abusers. 🙌 [This marks the end of our Kau Ilhamku (𝘠𝘰𝘶'𝘳𝘦 𝘮𝘺 𝘪𝘯𝘴𝘱𝘪𝘳𝘢𝘵𝘪𝘰𝘯) series where we highlight people from the Malay or Muslim community who have inspired us in 2020! We hope the stories of these inspirational people in our community will continue to motivate you well into the new year #kauilhamku✨]",on behalf of the community thank you mastura for fighting the good fight standing up for women and for taking a clear stance that islam makes no exception for religious figures who are abusers raising hands this marks the end of our curse ilhamku 𝘮𝘺 𝘪𝘯𝘴𝘱𝘪𝘳𝘢𝘵𝘪𝘰𝘯 series where we highlight people from the malay or muslim community who have inspired us in we hope the stories of these inspirational people in our community will continue to motivate you well into the new year sparkles,0
"Hidayah Amin is a force to be reckoned with. Her tenacity to preserve the stories of the Malay community as an independent book publisher is a clear mark of her late great-grandfather, Haji Yusoff's positive influence.

These photos were shot at the original location of Haji Yusoff's workshop, where his tali pinggang (belt) business earned him a booming regional monopoly.

#kauilhamku✨

✏️: Nur
🎨: Anna
📸: @bgAABHthBc.khidir",hidayah amin is a force to be reckoned with her tenacity to preserve the stories of the malay community as an independent book publisher is a clear mark of her late haji positive influence these photos were shot at the original location of haji workshop where his tali pinggang belt business earned him a booming regional monopoly sparkles pencil nur artist palette anna camera with flash khidir,0
Thank you to all who have spoken up about the Tudung issue over the years. Thank you to our non-Muslim allies who have helped amplify our voices. We are heartened by this change in policy and at the same time we realise there is still more work to be done. Let’s continue having these conversations and working towards a fairer society for Muslim women.,thank you to all who have spoken up about the tudung issue over the years thank you to our allies who have helped amplify our voices we are heartened by this change in policy and at the same time we realise there is still more work to be done let us continue having these conversations and working towards a fairer society for muslim women,0
"This #InternationalWomensDay, we are going beyond ideas of individual empowerment. We seek solidarity with women and for women. We seek collective support and collective action. ✊🏽⁠ ⁠ What does #solidarity look like for us? ⁠ - Solidarity means creating and giving spaces for others to be, to seek refuge and to heal. ⁠ - Solidarity means to not speak on behalf of others but to support them as they find their voice and footing. ⁠ - Solidarity is not about the ‘me’ but the ‘us’.⁠ - Solidarity means taking the individual self to the next level.⁠ - We are not without those around us. We do not struggle alone. Neither do we succeed alone.⁠ ⁠ This #IWD, we hold deeply to these words of Angela Davis: “It is in collectivities that we find reservoirs of hope and optimism.”⁠ ⁠ From everyone in Penawar, Happy International Women’s Day! ✨⁠ ⁠ (ps. For only today, in celebration of IWD, you get 30% OFF our Penawar #zine which also talks about why we need support groups and collective support. See zine previews in highlights. LINK IN BIO.)",this we are going beyond ideas of individual empowerment we seek solidarity with women and for women we seek collective support and collective action raised fist medium skin tone what does look like for us solidarity means creating and giving spaces for others to be to seek refuge and to heal solidarity means to not speak on behalf of others but to support them as they find their voice and footing solidarity is not about the me but the us solidarity means taking the individual self to the next level we are not without those around us we do not struggle alone neither do we succeed alone this we hold deeply to these words of angela davis it is in collectivities that we find reservoirs of hope and optimism from everyone in penawar happy international women s day sparkles leader of the opposition for only today in celebration of international womens day you get off our penawar which also talks about why we need support groups and collective support see zine previews in highlights link in biography,0
End of story. We seriously don't understand why this is so hard to grasp for some. It is a shame that this even has to be spelt out.,end of story we seriously do not understand why this is so hard to grasp for some it is a shame that this even has to be spelt out,1
Let's combat racism together.,let us combat racism together,1
"Another NJC alumna speaks up. Also, this may be an opportune time to remind everyone that just because Ms X wasn't racist or was nice towards you, it doesn't mean that she couldn't have been racist or unreasonable towards others. --- “While I am ethnically Chinese and did not face specifically racist treatment from her, I stand with my fellow minority friends, many of whom have faced such horrible experiences. I am writing in because I firmly believe that one teacher cannot act so outrageously for decades without being held accountable if there is a sound mechanism within the NJC system that regulates this. It cannot be that the NJC staff are completely unaware of her acts, as evidences by the numerous comments (over 200 thus far) with students and ex-students from across a decade sharing similar experiences, and many pointing out that they know who the teacher is right from the description. As such, it simply cannot be that the school has been unaware of it all these years.” #CALLITOUTSG",another high school alumna speaks up also this may be an opportune time to remind everyone that just because ms x was not racist or was nice towards you it does not mean that she could not have been racist or unreasonable towards others while i am ethnically chinese and did not face specifically racist treatment from her i stand with my fellow minority friends many of whom have faced such horrible experiences i am writing in because i firmly believe that one teacher cannot act so outrageously for decades without being held accountable if there is a sound mechanism within the high school system that regulates this it cannot be that the high school staff are completely unaware of her acts as evidences by the numerous comments over thus far with students and from across a decade sharing similar experiences and many pointing out that they know who the teacher is right from the description as such it simply cannot be that the school has been unaware of it all these years,1
"Dear killshot, whoever you are, we want you to know that you are not alone. You will never be alone, friend. The community here will always have your back. We will continue to relentlessly advocate and fight for all minorities to have a better and more just future. We are clearly on the right track - we have made people like him so uncomfortable. That is the power of truth. The truth may be uncomfortable, but ignoring it doesn't change anything. I'll personally never understand why people get so worked up or defensive when stories about racism are shared. We will not let the naysayers and the doubters derail our efforts, not even for a second. Racists don't take a break so why should we. This is the very real effect of gaslighting and downplaying the experiences of minorities. But we must not let it get to us. The anti-racism movement will prevail, as history has always shown.",dear killshot whoever you are we want you to know that you are not alone you will never be alone friend the community here will always have your back we will continue to relentlessly advocate and fight for all minorities to have a better and more just future we are clearly on the right track we have made people like him so uncomfortable that is the power of truth the truth may be uncomfortable but ignoring it does not change anything i will personally never understand why people get so worked up or defensive when stories about racism are shared we will not let the naysayers and the doubters derail our efforts not even for a second racists do not take a break so why should we this is the very real effect of gaslighting and downplaying the experiences of minorities but we must not let it get to us the movement will prevail as history has always shown,1
"We receive some hate messages everyday, that is fine. But don't go after those who entrust us with their stories and confide in us. For you to go after victims of racism, that's a low-blow. Minorities can't ever speak up without getting gaslighted or having doubt thrown at their stories. You want to know why so many stories sound similar? It's because so many minorities share similar lived experiences. For the record, every word, every emotion, every experience in the #CALLITOUTSG series is real. It may be hard for you to believe because of your privilege, but it is 100% real. Let me make this clear. We will not stand for any gaslighting or victim-blaming. You are free to attack us but don't go after the authenticity of the experiences we share when you don't even have a shred of evidence. If you want to ""bet real money"", put your money where your mouth is. We will donate all the monies to mutual aid. --- P.S. If you want to know what are CaiusG's views on racism, go check out his comment history ;)",we receive some hate messages everyday that is fine but do not go after those who entrust us with their stories and confide in us for you to go after victims of racism that is a minorities cannot ever speak up without getting gaslighted or having doubt thrown at their stories you want to know why so many stories sound similar it is because so many minorities share similar lived experiences for the record every word every emotion every experience in the series is real it may be hard for you to believe because of your privilege but it is real let me make this clear we will not stand for any gaslighting or you are free to attack us but do not go after the authenticity of the experiences we share when you do not even have a shred of evidence if you want to bet real money put your money where your mouth is we will donate all the monies to mutual aid p s if you want to know what are views on racism go check out his comment history wink or smirk,1
"You know, when people tell me that they are surprised by the racist outbursts or ask questions like ""Wah teacher leh? How can like that?"" I will tell them to go talk to any working class minority and I can guarantee you they will share similar lived experiences. In the past few days, we have received many messages from all of you who have shared about your experiences with racism. We appreciate your trust and confidentiality in us and we will always strive to listen and advocate for all of you. Recent events have shown me that one thing is clear. We will no longer remain silent or be resigned to fate. We will no longer accept that this is the way things are. If you are racist, you will be held accountable. We will call it out. We will demand accountability. And we will fight for a more just and equitable society for all of us. Racial Harmony is not a one day school celebration, but an ongoing struggle. We at @bgAABHtUgb will always be on the side of the struggle. #CALLITOUTSG",you know when people tell me that they are surprised by the racist outbursts or ask questions like wah teacher leh how can like that i will tell them to go talk to any working class minority and i can guarantee you they will share similar lived experiences in the past few days we have received many messages from all of you who have shared about your experiences with racism we appreciate your trust and confidentiality in us and we will always strive to listen and advocate for all of you recent events have shown me that one thing is clear we will no longer remain silent or be resigned to fate we will no longer accept that this is the way things are if you are racist you will be held accountable we will call it out we will demand accountability and we will fight for a more just and equitable society for all of us racial harmony is not a one day school celebration but an ongoing struggle we at will always be on the side of the struggle,1
"I hope next time when minorities speak up, we take them seriously. We shouldn't accuse them of stirring religious tensions or sedition. We should also think about what kind of signals are sent when we say things like ""We are not ready for an Indian PM"" or ""if you naughty, apunene will come catch you"". Such rhetoric is hurtful to minorities and it also serves to normalise racism. We all want to work together against racism. Sometimes, this work involves serious reflection and difficult conversations. But it must be done. Repost from @bgAABHtDUK",i hope next time when minorities speak up we take them seriously we should not accuse them of stirring religious tensions or sedition we should also think about what kind of signals are sent when we say things like we are not ready for an indian prime minister or if you naughty person of indian descent will come catch you such rhetoric is hurtful to minorities and it also serves to normalise racism we all want to work together against racism sometimes this work involves serious reflection and difficult conversations but it must be done repost from,1
"We also hope that going forward, when minorities speak up about racism and Chinese privilege, we hear them out, take their concerns seriously and have difficulty but necessary conversations about race instead of accusing them of sedition or stirring racial tensions.",we also hope that going forward when minorities speak up about racism and chinese privilege we hear them out take their concerns seriously and have difficulty but necessary conversations about race instead of accusing them of sedition or stirring racial tensions,1
Although I might have accidentally say these remarks in the past I will be a good ally from now and don't encourage racism against minority,although i might have accidentally say these remarks in the past i will be a good ally from now and do not encourage racism against minority,-1
thanks so much for the support and the work that went into this write up! ❤️,thanks so much for the support and the work that went into this write up red heart,0
I totally feel seen,i totally feel seen,-1
Thank you so much for giving us a voice!:),thank you so much for giving us a voice happy face or smiley,0
@bgAABHtlg_ thank you! we must all work together to end racism at its roots. It exists and it is a problem. Gaslighting makes it difficult to snuff out. It pays to be cautious and aware!,thank you we must all work together to end racism at its roots it exists and it is a problem gaslighting makes it difficult to snuff out it pays to be cautious and aware,1
we wanna thank you for publishing and honouring ‘A’s story and perspective. 🌸 this was indeed a stunning piece and we’re so proud of her and stand by her! 🌈 thank you BTH for extending your solidarity to the End FGC cause from the get-go and for being such a great friend! you’re doing very important work uplifting the voices of Muslim women in Singapore that don’t make it to the mainstream media or the national discourse. 🎙,we want to thank you for publishing and honouring a s story and perspective cherry blossom this was indeed a stunning piece and we are so proud of her and stand by her rainbow thank you unbearable for extending your solidarity to the end female genital cutting because from the and for being such a great friend you are doing very important work uplifting the voices of muslim women in singapore that do not make it to the mainstream media or the national discourse studio microphone,0
"@bgAABHtkbY founded @bgAABHtJjU, a media platform to support and inspire everyday women to embrace their individuality, recognise their self-worth and full potential. She is also a humanitarian communications specialist, a TEDx speaker, a TV presenter and currently sits on the Corporate Communications Advisory Committee at the Singapore Muslim Women’s Association (PPIS). As a social advocate who pushes for all things that empower women and a mother to a toddler, we ask her what it means to be and raise a strong woman today. Join us tomorrow! 👋",founded a media platform to support and inspire everyday women to embrace their individuality recognise their and full potential she is also a humanitarian communications specialist a conference by experts speaker a television presenter and currently sits on the corporate communications advisory committee at the singapore muslim women s association singapore muslim women association as a social advocate who pushes for all things that empower women and a mother to a toddler we ask her what it means to be and raise a strong woman today join us tomorrow waving hand,0
"@bgAABHtGUz founded @bgAABHt2hE, a media platform to support and inspire everyday women to embrace their individuality, recognise their self-worth and full potential. She is also a humanitarian communications specialist, a TEDx speaker, a TV presenter and currently sits on the Corporate Communications Advisory Committee at the Singapore Muslim Women’s Association (PPIS). As a social advocate who pushes for all things that empower women and a mother to a toddler, we ask her what it means to be and raise a strong woman today.",founded a media platform to support and inspire everyday women to embrace their individuality recognise their and full potential she is also a humanitarian communications specialist a conference by experts speaker a television presenter and currently sits on the corporate communications advisory committee at the singapore muslim women s association singapore muslim women association as a social advocate who pushes for all things that empower women and a mother to a toddler we ask her what it means to be and raise a strong woman today,0
"Having gone through a period of homelessness, Liyana has emerged stronger through her struggles and wrote the award-winning book, “Homeless: The Untold Story of a Mother’s Struggle in Crazy Rich Singapore”. She is also a contributing writer for the anthology, “Singapore Birthday Book: 20/20 Seeing Clearly” and the recipient of the “Woman of Resilience” award from AWARE. 

As a woman of resilience, we ask her - what does success really look like?",having gone through a period of homelessness liyana has emerged stronger through her struggles and wrote the book homeless the untold story of a mother s struggle in crazy rich singapore she is also a contributing writer for the anthology singapore birthday book seeing clearly and the recipient of the woman of resilience award from aware as a woman of resilience we ask her what does success really look like,0
"Having gone through a period of homelessness, Liyana has emerged stronger through her struggles and wrote the award-winning book, “Homeless: The Untold Story of a Mother’s Struggle in Crazy Rich Singapore”. She is also a contributing writer for the anthology, “Singapore Birthday Book: 20/20 Seeing Clearly” and the recipient of the “Woman of Resilience” award from AWARE. 

As a woman of resilience, we ask her - what does success really look like?

Join us tomorrow! 👋",having gone through a period of homelessness liyana has emerged stronger through her struggles and wrote the book homeless the untold story of a mother s struggle in crazy rich singapore she is also a contributing writer for the anthology singapore birthday book seeing clearly and the recipient of the woman of resilience award from aware as a woman of resilience we ask her what does success really look like join us tomorrow waving hand,0
"@bgAABHtILu 😔 sorry that you had to go through that. Wish there was a National anti discrimination rule carried out by MOM on this. Rejecting competent workers just because they choose to practice their religious beliefs, doesn’t match with sg ‘s multi racial and religious harmony identity that the country’s often being promoted as. Even National sports teams must wear uniforms but some countries allow their players to wear simple head covering and inner sleeves /leggings inside the team’s sports uniform.",pensive face sorry that you had to go through that wish there was a national anti discrimination rule carried out by ministry of manpower on this rejecting competent workers just because they choose to practice their religious beliefs does not match with singapore s multi racial and religious harmony identity that the country s often being promoted as even national sports teams must wear uniforms but some countries allow their players to wear simple head covering and inner sleeves leggings inside the team s sports uniform,1
#CALLITOUTSG This is hard to read. A Sikh boy shares with us about his experiences with racism in school.,this is hard to read a sikh boy shares with us about his experiences with racism in school,-1
"In these submissions, we hear from people of different races and faiths who share their experiences with discrimination in school. #CALLITOUTSG",in these submissions we hear from people of different races and faiths who share their experiences with discrimination in school,-1
"This appears to show teachers discussing a parent's complaint about their child being group with people of other races. If this is true, I really pity the teachers. They are in a difficult situation. It must be very difficult for teachers to help children recognise and unlearn racial biases when their parents are the source of the racism. #CALLITOUTSG",this appears to show teachers discussing a complaint about their child being group with people of other races if this is true i really pity the teachers they are in a difficult situation it must be very difficult for teachers to help children recognise and unlearn racial biases when their parents are the source of the racism,1
"“‘Are you going back to Malaysia ?’ My sister took it lightly and explained that the luggage was for me and she had come to drop it off. He simple added, “Go back lah. Go back to Malaysia. Go back now. We don’t want you here.” His tone progressively got more aggressive towards the end. … I told my sister then - enough is enough. We should no longer stay silent. We have as much right to be here as anyone else. We need to speak up, make it difficult for people to be comfortable with racism, and stand up for ourselves. I would not want for us to keep silent for this is not the Singapore I would want my children to grow up in. The experience left me so frustrated that I couldn’t do anything more. We waited till our GrabCar came and left.”",are you going back to malaysia my sister took it lightly and explained that the luggage was for me and she had come to drop it off he simple added go back lah go back to malaysia go back now we do not want you here his tone progressively got more aggressive towards the end i told my sister then enough is enough we should no longer stay silent we have as much right to be here as anyone else we need to speak up make it difficult for people to be comfortable with racism and stand up for ourselves i would not want for us to keep silent for this is not the singapore i would want my children to grow up in the experience left me so frustrated that i could not do anything more we waited till our ride hailing company came and left,1
"“this is definitely not what i want to teach my child in the near future and i hope that we will be able to change our mindset as times goes by. come on, we are in the 21st century and im pretty sure everyone will have to go through proper education in singapore. with all the news outlet reporting about racism cases, with all the stories about racism being shared around, i hope that we all will be able to change our mindset and also educate the people around us. its 2021 and if you’re still being racist to others, here’s a big fuck you. you have no fucking idea how much it hurts to be discriminated against just because you have a different skin tone. lets be more open minded and accepting towards others please.” A Chinese lady who is in an inter-racial relationship with an Indian man faces racism from her own family. #CALLITOUTSG",this is definitely not what i want to teach my child in the near future and i hope that we will be able to change our mindset as times goes by come on we are in the century and i am pretty sure everyone will have to go through proper education in singapore with all the news outlet reporting about racism cases with all the stories about racism being shared around i hope that we all will be able to change our mindset and also educate the people around us its and if you are still being racist to others here is a big fuck you you have no fucking idea how much it hurts to be discriminated against just because you have a different skin tone let us be more open minded and accepting towards others please a chinese lady who is in an relationship with an indian man faces racism from her own family,1
"Most of us Indian Muslims can relate to this to some extent. I believe this situation arises out of a lack of awareness and education. These kinds of things should have been taught in all those social studies or CME lessons in primary schools. Concepts such as race and religion are still not so clear to some Chinese. My colleague asked me ""Are you Indian or Muslim?'. I replied ""Both"" and he looked surprised. 🙄",most of us indian muslims can relate to this to some extent i believe this situation arises out of a lack of awareness and education these kinds of things should have been taught in all those social studies or cme lessons in primary schools concepts such as race and religion are still not so clear to some chinese my colleague asked me are you indian or muslim i replied both and he looked surprised face with rolling eyes,1
"@bgAABHt7Vq I can completely relate to your experiences too. There needs to be more active engagement on both sides. At this point it is only right that we appreciate the new Mufti's effort to reach out to more segments of the Muslim community. While the previous Mufti focused his efforts on the Malay community, with most of his lectures being in Malay, the new Mufti has however chosen to produce more English content. I was even pleasantly surprised that SalamSG TV that he launched features the Indian imams (including Bengali!!!). They even produced Tamil & Bengali subtitles for the Eid khutbah. So this definitely seems to be a promising start. At least they are making the effort to reach out to us and I definitely appreciate their efforts for that. I sincerely hope that relations and communications between the 2 communities strengthen further in future. It doesn't have to be based upon the number of mixed marriages per se, but a change of perspective towards the other race might be a good start :)",i can completely relate to your experiences too there needs to be more active engagement on both sides at this point it is only right that we appreciate the new effort to reach out to more segments of the muslim community while the previous mufti focused his efforts on the malay community with most of his lectures being in malay the new mufti has however chosen to produce more english content i was even pleasantly surprised that salamsg television that he launched features the indian imams including bengali they even produced tamil bengali subtitles for the end of Ramadan khutbah so this definitely seems to be a promising start at least they are making the effort to reach out to us and i definitely appreciate their efforts for that i sincerely hope that relations and communications between the communities strengthen further in future it does not have to be based upon the number of mixed marriages per se but a change of perspective towards the other race might be a good start happy face or smiley,0
"""Now, I would like to get into the details of this term “Indian” that we Singaporeans use. I would like to clarify that Indian is not a language but a race; and importantly, Hindu is not a language but a religion. We do not speak Indian or Hindu that some do ask. We speak Tamil or Hindi or many other languages. Did you know that there are more than 19,500 languages or dialects spoken in India as mother tongues, according to the latest analysis of a census released?"" - Rukhshana Maufiqah Illustration by @bgAABHtIrm",now i would like to get into the details of this term indian that we singapore citizens use i would like to clarify that indian is not a language but a race and importantly hindu is not a language but a religion we do not speak indian or hindu that some do ask we speak tamil or hindi or many other languages did you know that there are more than languages or dialects spoken in india as mother tongues according to the latest analysis of a census released rukhshana maufiqah illustration by,1
"I’ve always noticed the way race and religion have seemed more separate for some and synonymous for others. Being Malay and Muslim to me, in my experience, has been a commonly understood norm in society, where race and religion overlap. However, being Indian and Muslim is always perceived to be antonymous. One is the opposite of the other instead of sharing the same space. ⁣ ⁣ Even till now, I notice the ease of which other Muslims who look the part, can do things while someone like myself, am restricted socially by odd looks or sometimes the inability of others to comprehend how an Indian can be Indian and Muslim. - Sarah Farheenshah Begum⁣",i have always noticed the way race and religion have seemed more separate for some and synonymous for others being malay and muslim to me in my experience has been a commonly understood norm in society where race and religion overlap however being indian and muslim is always perceived to be antonymous one is the opposite of the other instead of sharing the same space even till now i notice the ease of which other muslims who look the part can do things while someone like myself am restricted socially by odd looks or sometimes the inability of others to comprehend how an indian can be indian and muslim sarah farheenshah begum,1
"""I was probably the most proud to be a south Asian Muslim woman when I’m in the presence of my family, and still am til today. To be honest, I never felt proud to be south Asian when I was in school. I always felt a little left out. Some teachers would purposely fake an indian accent (even though I wasn’t Indian) in front of the whole class when talking to me, and classmates would talk about me while being in my presence, thinking I didn’t understand a word they were saying. Being in such an environment made me feel embarrassed about my ethnicity."" - FZ, Sri Lankan",i was probably the most proud to be a south asian muslim woman when i am in the presence of my family and still am til today to be honest i never felt proud to be south asian when i was in school i always felt a little left out some teachers would purposely fake an indian accent even though i was not indian in front of the whole class when talking to me and classmates would talk about me while being in my presence thinking i did not understand a word they were saying being in such an environment made me feel embarrassed about my ethnicity fz sri lankan,1
When will the blatant discrimination end? Looks like there’s something happening to Indian folks in Singapore every week. This is disrespectful to people of the Hindu faith. What’s the point of mocking religious activities? How intolerant has this country become?,when will the blatant discrimination end looks like there is something happening to indian folks in singapore every week this is disrespectful to people of the hindu faith what is the point of mocking religious activities how intolerant has this country become,1
😢 Reminiscent of the racial insults I had endured in primary school too,crying face reminiscent of the racial insults i had endured in primary school too,-1
"Speaking of holidays - I was the Camp Duty Officer for BOTH Chinese New Year holidays as a newly commissioned SAF officer. Probably against protocol but I was green and clueless and the only non-Chinese junior officer in the whole camp so it's obligatory right? (/s) Still on NS - as a reservist they conducted a one-day ICT briefing callup on Hari Raya Eve. This time I flipped and asked why this day, of all days, for a briefing?? Would they have called us up on CNY eve, I asked. No response to that, but they eventually relented and changed the date. Time to stand up and speak up.",speaking of holidays i was the camp duty officer for both chinese new year holidays as a newly commissioned singapore armed forces officer probably against protocol but i was green and clueless and the only junior officer in the whole camp so it is obligatory right s still on ns as a reservist they conducted a reservist training briefing callup on hari raya eve this time i flipped and asked why this day of all days for a briefing would they have called us up on chinese new year eve i asked no response to that but they eventually relented and changed the date time to stand up and speak up,-1
